place_id,name_cln,text,unknown_uncertain,geog_name,address,settlement,region,country,continent,modern_french_region,name_n_ids
place_082,Edinburgh,Edinburgh,,,,Edinburgh,Midlothian,Scotland,,,obj826-pl-108 || obj831-pl-109 || obj868-pl-181 || obj870-pl-183 || obj895-pl-210 || obj900-pl-221 || obj944-pl-275 || obj972-pl-334 || obj1061-pl-453 || obj1156-pl-623 || obj1283-pl-818 || obj1288-pl-831 || obj1348-pl-65 || obj1567-pl-482 || obj1826-pl-877
place_083,Egypt,Egypt,,,,,,Egypt,,,obj1547-pl-446
place_084,Elba,Elba,,,,,,Elba,,,obj1746-pl-776
place_085,England,England,,,,,,England,,,obj769-pl-25 || obj783-pl-57 || obj791-pl-65 || obj835-pl-117 || obj837-pl-127 || obj847-pl-141 || obj894-pl-206 || obj895-pl-213 || obj908-pl-236 || obj922-pl-257 || obj1001-pl-372 || obj1075-pl-465 || obj1090-pl-484 || obj1099-pl-509 || obj1126-pl-557 || obj1134-pl-572 || obj1137-pl-577 || obj1141-pl-595 || obj1207-pl-691 || obj1288-pl-829 || obj1330-pl-39 || obj1444-pl-218 || obj1474-pl-284 || obj1476-pl-289 || obj1492-pl-315 || obj1593-pl-525 || obj1629-pl-586 || obj1643-pl-594 || obj1651-pl-617 || obj1723-pl-745 || obj1757-pl-797 || obj1819-pl-872 || obj1847-pl-925
place_086,Europe,Europe,,,,,,,Europe,,obj778-pl-46 || obj874-pl-188 || obj877-pl-191 || obj900-pl-223 || obj951-pl-288 || obj967-pl-324 || obj1010-pl-382 || obj1011-pl-385 || obj1049-pl-442 || obj1099-pl-506 || obj1101-pl-513 || obj1104-pl-525 || obj1110-pl-532 || obj1132-pl-568 || obj1259-pl-763 || obj1263-pl-779 || obj1282-pl-817 || obj1320-pl-22 || obj1375-pl-106 || obj1390-pl-122 || obj1414-pl-161 || obj1415-pl-162 || obj1423-pl-175 || obj1434-pl-195 || obj1439-pl-204 || obj1440-pl-210 || obj1451-pl-237 || obj1460-pl-256 || obj1467-pl-270 || obj1505-pl-338 || obj1525-pl-377 || obj1527-pl-382 || obj1544-pl-436 || obj1600-pl-538 || obj1628-pl-580 || obj1683-pl-682 || obj1760-pl-808 || obj1870-pl-945
place_087,Falls of Maryland,Falls of Maryland,,Falls of Maryland,,,Maryland,United States of America,,,obj1466-pl-265
place_088,Firenze,Firenze,,,,Florence,,Italy,,,obj916-pl-251
place_089,Florence,Florence,,,,Florence,,Italy,,,obj1089-pl-481 || obj1163-pl-630
place_090,Florida,Florida,,,,,Florida,United States of America,,,obj1206-pl-689 || obj1510-pl-344 || obj1530-pl-399 || obj1530-pl-401 || obj1687-pl-688 || obj1846-pl-920
place_091,Greek Colony,Greek Colony,,,,Greek Colony,Florida,United States of America,,,obj1122-pl-539
