name_d_id,short_name
ppl:ghstuart,ghstuart
ppl:gira,girard
ppl:gjd,gjdevereux
ppl:gjjaneway,gjjaneway
ppl:glm,glmeason
ppl:gmmcmahon,gmmcmahon
ppl:gmnewton,gmnewton
ppl:_godoy,godoy
ppl:_gomez,gomez
ppl:gord,gord
ppl:govmasey,govmasey
ppl:govreman,govreman
ppl:govwilkins,govwilkins
ppl:govwright,govwright
ppl:_gowan,gowan
ppl:gparkman,gparkman
ppl:gpoindexter,gpoindexter
ppl:gpratt,gpratt
ppl:gracesampson,gracesampson
ppl:gsbettner,gsbettner
ppl:gshila,gshilaire
ppl:gti,gticknor
ppl:gtroost,gtroost
ppl:gvjdavis,gvjdavis
ppl:gwerving,gwerving
ppl:gwmurray,gwmurray
ppl:gws,gwscott
ppl:hadewar,hadewar
ppl:_hancock,hancock
ppl:hannahgall,hgallatin
ppl:harrietbrooks,harrietbrooks
ppl:hbcarey,hbcarey
ppl:hbf,hbfearon
ppl:hbinney,hbinney
ppl:hbleecker,hbleecker
ppl:hbmaret,hbmaret
ppl:hbsmith,hbsmith
ppl:hccarey,hccarey
ppl:hcderh,hcderham
ppl:hcleveland,hcleveland
ppl:hco,hcolburn
ppl:hcorbay,hcorbay
ppl:hcummings,hcummings
ppl:hdgilpin,hdgilpin
ppl:hdspoor,hdspoor
ppl:henbarnard,henbarnard
ppl:henbowditch,henbowditch
ppl:hencage,hencage
ppl:_henderson,henderson
ppl:henryclay,henryclay
ppl:henrylee,henrylee
ppl:hepierrepont,hepierrepont
ppl:_hereau,hereau
ppl:hfdaguesseau,hfdaguesseau
ppl:hffaber,hffaber
ppl:hfurnaux,hfurneaux
ppl:hgarnett,hgarnett
ppl:hgassett,hgassett
ppl:hgbrown,hgbrown
ppl:hgdyar,hgdyar
ppl:hgo,hgotis
ppl:hgreg,hgregoire
ppl:hingrah,hingraham
ppl:hjburden,hjburden
ppl:hjnott,hjnott
ppl:hledyard,hledyard
ppl:hlodge,hlodge
ppl:hmcormac,hmcormac
ppl:hmdblain,hmddeblainville
ppl:hmm,hmmorres
ppl:hmsdewar,hmsdewar
ppl:hmwilliams,hmwilliams
ppl:_holt,holt
ppl:hpinken,hpinken
ppl:hpowers,hpowers
ppl:hpvbibber,hpvbibber
ppl:hrcleveland,hrcleveland
ppl:hroulst,hroulston
ppl:hsedg,hsedgewick
ppl:hseybert,hseybert
ppl:hslegare,hslegare
ppl:htanner,htanner
ppl:hthorn,hthorn
ppl:humatherton,humatherton
ppl:humboldt,humboldt
ppl:hvethake,hvethake
ppl:hwallace,hwallace
ppl:hwarden,hwarden
ppl:hwheaton,hwheaton
ppl:hwhite,hwhite
ppl:hwilliamson,hwilliamson
ppl:icarour,icarour
ppl:icbarnet,icbarnet
ppl:icmott,icmott
ppl:icullemore,icullemore
ppl:isaaclea,isaaclea
ppl:ithorndike,ithorndike
